product_name_id,product_url,review_id,rating,title,review_text,submission_time,author,is_staff,is_verified_buyer,badge,likes,incentivized_review_label,fit_feedback,height,weight,size_purchased,usual_size,total_comments,comments_json,lulu_response_author,lulu_response_text,lulu_response_time,photo_count,photo_urls,photo_thumbnails,photo_captions,downloaded_image_paths
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250602303,1,Alteration no possible,A little disappointed that the store couldn’t shorten the sleeves of this product. There are many kids eager to wear this jacket but unfortunately. Looks like it isn’t possible to shorten the sleeve,2026-05-15T02:33:00.000+00:00,,False,False,,0,,Runs a bit large,,,6,6,0,[],Guest Education Centre (GEC),Thanks for taking the time to share this with the Define Jacket. We hear your thoughts around the sleeves not being able to be shortened and we appreciate you calling it out. Your feedback is important and helps guide our teams as they explore future design offerings.,2026-05-15T12:13:01.000+00:00,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250521155,1,Terrible experience,"I had a very bad shopping experience with an Asian woman who wore glasses and was around 160-170 I'm not sure . She wore a gold necklace, had double eyelids and had long black or dark brown hair. Seemed to be a manager and she was scheduling jobs to some shopping guides.",2026-05-12T18:35:34.000+00:00,,False,False,,0,,True to size,,,,,0,[],,,,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250357412,1,"Terrible packaging, dirty, awful customer service","I ordered this (in white) for my daughter. Arrived April 7th but her birthday is May 6th, and when she opened it and tried it on, it was filthy. Down the side, on the sleeve!",2026-05-07T04:46:10.000+00:00,,False,False,Incentivized review,0,Received free product or lululemon affiliate,,,,,,0,[],,,,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250336132,1,Size 2,RESTOCK IN SIZE 2 WHY IS THERE EVERY OPTION BUT IT?!!!!,2026-05-06T16:53:58.000+00:00,,False,False,,0,,True to size,,,2,2,0,[],Guest Education Centre (GEC),We hear you on the desire for a restock of the Define Jacket. Your feedback helps us to evolve and further improve our gear.,2026-05-06T19:59:03.000+00:00,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250162695,1,Never got my package,Never got my package they won’t refund me,2026-05-01T23:57:37.000+00:00,,False,False,,0,,,,,12,12,0,[],,,,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250149820,1,Stained,Was shipped with a stain on the collar,2026-05-01T16:10:50.000+00:00,,False,False,,0,,Runs a bit small,,,6,6,0,[],Guest Education Centre (GEC),This isn't the experience we want for our gear to arrive in. Thanks for bringing this to our attention—we'll be reaching out by email soon.,2026-05-01T16:53:53.000+00:00,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250111296,1,DO NOT BUY WALNUT CRUNCH WITHOUT CHECKING IN STORE,This was my 5th set in the last 30 days but now I’ll never buy lulu again. The walnut crunch define jacket and leggings are completely different colors (leggings are basically olive and the top is a pure brown) but because I already took the tag off (I assumed they would be perfect like my other sets and immediately ripped the tags) they refuse to refund or exchange.,2026-04-30T10:35:13.000+00:00,,False,False,,1,,True to size,,,8,6/8,0,[],,,,2,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/b6623e94-693e-5267-9400-99acb45380ee ; https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/bf5255f8-4174-57ad-ae32-3490039a5525,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/73d0e602-5b44-5d66-9963-8ced3e52bbc6 ; https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/3e924724-564c-50a0-b22b-6436761691cc,Mismatch with walnut crunch top and bottom that their website recommended as a set ; Known issue that they’re ignoring,C:\Users\hiruk\OneDrive\Desktop\lululemon\lululemon-review-scraper\output\lululemon_define_jacket_review_images\250111296_17129494.jpg ; C:\Users\hiruk\OneDrive\Desktop\lululemon\lululemon-review-scraper\output\lululemon_define_jacket_review_images\250111296_17129495.jpg
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250091466,1,I filed for a return and they didn’t accept it,Horrible there’s so much lint I’ve only air dried and it still happened,2026-04-29T16:50:14.000+00:00,,False,False,,0,,Runs a bit large,,,,,0,[],,,,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,250056587,1,Poor quality - better buying a knock off,"Product started to pill with one time wear, for the amount paid quality could be better. Absolute poor quality",2026-04-28T12:03:15.000+00:00,,False,False,,1,,True to size,,,4,4,0,[],Guest Education Centre (GEC),"That’s not the experience we hope to create, and we’d love to support you further. We’ve sent an email to connect and continue the conversation. Talk soon.",2026-04-29T12:22:40.000+00:00,1,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/88b93f6c-d112-50c9-a3df-0412ed2a84d6,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/75fae65f-4a01-5e56-87a3-762aabcb48c0,,C:\Users\hiruk\OneDrive\Desktop\lululemon\lululemon-review-scraper\output\lululemon_define_jacket_review_images\250056587_17113581.jpg
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,249653056,1,Bled everywhere,"I had very high hopes for this slacker. I ordered the matching set, of course. It bled on all of my laundry and ruined so many items. I regret purchasing. I thought your items were supposedly pre washed, but for the look of things, they aren’t. I lost so much money with this purchase.",2026-04-17T14:44:28.000+00:00,,False,False,,2,,True to size,,,8,8,0,[],Guest Education Centre (GEC),"This certainly isn't the experience we want for you, and we'd love to learn more. To get connected, visit your local store, or connect with us through our Contact Us page.",2026-04-17T16:36:14.000+00:00,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,249468801,1,Jacket,Bad quality came Ripped not cool,2026-04-13T00:26:31.000+00:00,,False,False,,0,,True to size,,,Medium,Small,0,[],,,,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,249449375,1,don't get the nulu,jacket fits great but pills after 2 washes,2026-04-12T00:42:34.000+00:00,,False,False,,0,,Runs a bit large,,,4,4,0,[],Guest Education Centre (GEC),"Pilling is part of the experience we strive to deliver, so we sent you a follow-up email. It includes net best steps when it comes to your gear and experience—talk soon.",2026-04-12T13:41:56.000+00:00,0,,,,
Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,249279306,1,I washed it one time in gentle dry hung,"I am very disappointed and for the price, I wore it once and it has fuzz balls on the sleeves like it’s been worn several of times.",2026-04-05T10:44:15.000+00:00,,False,False,,0,,,,,14,14,0,[],Guest Education Centre (GEC),Quality concerns like pilling don't sit well with us—we'd love to offer further support with your order and experience. We emailed you directly to continue the conversation. Talk soon.,2026-04-05T13:57:20.000+00:00,0,,,,
